"","preferred","alt","bee","group"
"1018","combination","","two","champions"
"1019","torrent","","two","champions"
"1020","arsenic","","two","champions"
"1021","accomplice","","two","champions"
"1022","contrariwise","","two","champions"
"1023","paneer","panir","two","champions"
"1024","omnibus","","two","champions"
"1025","biscotti","","two","champions"
"1026","calibrate","","two","champions"
"1027","freesia","","two","champions"
"1028","exoneration","","two","champions"
"1029","duvet","","two","champions"
"1030","turpitude","","two","champions"
"1031","dramaturgy","","two","champions"
"1032","murmuration","","two","champions"
"1033","Clydesdale","","two","champions"
"1034","phonics","","two","champions"
"1035","biscuit","","two","champions"
"1036","flourish","","two","champions"
"1037","beatific","","two","champions"
"1038","repository","","two","champions"
"1039","dissipate","","two","champions"
"1040","splenetic","","two","champions"
"1041","legato","","two","champions"
"1042","slovenly","","two","champions"
"1043","aerobics","","two","champions"
"1044","paisley","","two","champions"
"1045","vacuousness","","two","champions"
"1046","appellation","","two","champions"
"1047","platitude","","two","champions"
"1048","calisthenics","","two","champions"
"1049","carpal","","two","champions"
"1050","abhorrence","","two","champions"
"1051","quizzical","","two","champions"
"1052","kookaburra","","two","champions"
"1053","invertebrate","","two","champions"
"1054","kerchief","","two","champions"
"1055","whimsical","","two","champions"
"1056","stamina","","two","champions"
"1057","criteria","","two","champions"
"1058","reprieve","","two","champions"
"1059","petroleum","","two","champions"
"1060","regalia","","two","champions"
"1061","incinerate","","two","champions"
"1062","flagon","","two","champions"
"1063","incoherent","","two","champions"
"1064","honorific","honourific","two","champions"
"1065","personnel","","two","champions"
"1066","heliotrope","","two","champions"
"1067","napoleon","","two","champions"
"1068","consequent","","two","champions"
"1069","tercentenary","","two","champions"
"1070","vexatious","","two","champions"
"1071","faux","","two","champions"
"1072","sophisticated","","two","champions"
"1073","nebulous","","two","champions"
"1074","genus","","two","champions"
"1075","legionnaire","","two","champions"
"1076","sternutation","","two","champions"
"1077","subcutaneous","","two","champions"
"1078","alacrity","","two","champions"
"1079","choreographer","","two","champions"
"1080","leguminous","","two","champions"
"1081","ceramics","","two","champions"
"1082","mimetic","","two","champions"
"1083","squander","","two","champions"
"1084","prenuptial","","two","champions"
"1085","succulent","","two","champions"
"1086","bedraggled","","two","champions"
"1087","rectitude","","two","champions"
"1088","uranium","","two","champions"
"1089","inundate","","two","champions"
"1090","wunderkind","","two","champions"
"1091","filial","","two","champions"
"1092","wearisome","","two","champions"
"1093","visage","","two","champions"
"1094","fascinator","","two","champions"
"1095","testimony","","two","champions"
"1096","superlative","","two","champions"
"1097","oxygenate","","two","champions"
"1098","annihilate","","two","champions"
"1099","sarcophagus","","two","champions"
"1100","surrogate","","two","champions"
"1101","terabyte","","two","champions"
"1102","uncouth","","two","champions"
"1103","onerous","","two","champions"
"1104","macrocosm","","two","champions"
"1105","bulbous","","two","champions"
"1106","umpirage","","two","champions"
"1107","heredity","","two","champions"
"1108","philharmonic","","two","champions"
"1109","bandanna","bandana","two","champions"
"1110","manipulable","","two","champions"
"1111","axiomatic","","two","champions"
"1112","indefatigable","","two","champions"
"1113","ulterior","","two","champions"
"1114","oligarchy","","two","champions"
"1115","pianola","","two","champions"
"1116","dignify","","two","champions"
"1117","allegiance","","two","champions"
"1118","basaltic","","two","champions"
"1119","scorpion","","two","champions"
"1120","planetarium","","two","champions"
"1121","ecstatic","","two","champions"
"1122","contusion","","two","champions"
"1123","mulligan","","two","champions"
"1124","sabermetrics","","two","champions"
"1125","elocution","","two","champions"
"1126","dowager","","two","champions"
"1127","comparison","","two","champions"
"1128","diaphanous","","two","champions"
"1129","agoraphobia","","two","champions"
"1130","buffet","","two","champions"
"1131","tortoise","","two","champions"
"1132","surmountable","","two","champions"
"1133","endure","","two","champions"
"1134","bonobo","","two","champions"
"1135","vituperative","","two","champions"
"1136","churlish","","two","champions"
"1137","riviera","","two","champions"
"1138","laconic","","two","champions"
"1139","excision","","two","champions"
"1140","emblazoned","","two","champions"
"1141","bric-a-brac","","two","champions"
"1142","longitude","","two","champions"
"1143","maverick","","two","champions"
"1144","retrograde","","two","champions"
"1145","partridge","","two","champions"
"1146","insignia","","two","champions"
"1147","binomial","","two","champions"
"1148","luminance","","two","champions"
"1149","adjective","","two","champions"
"1150","elucidate","","two","champions"
"1151","spatula","","two","champions"
"1152","triglycerides","","two","champions"
"1153","stalwart","","two","champions"
"1154","bumptious","","two","champions"
"1155","farcical","","two","champions"
"1156","ghastly","","two","champions"
"1157","parkour","","two","champions"
"1158","fealty","","two","champions"
"1159","perilous","","two","champions"
"1160","steroid","","two","champions"
"1161","gullibility","","two","champions"
"1162","tarantula","","two","champions"
"1163","cantankerous","","two","champions"
"1164","vitriolic","","two","champions"
"1165","crinoline","","two","champions"
"1166","debris","","two","champions"
"1167","armaments","","two","champions"
"1168","versatile","","two","champions"
"1169","subtlety","","two","champions"
"1170","hangar","","two","champions"
"1171","verbena","","two","champions"
"1172","zirconium","","two","champions"
"1173","ventriloquy","","two","champions"
"1174","circumflex","","two","champions"
"1175","calligram","","two","champions"
"1176","eczema","","two","champions"
"1177","theomachy","","two","champions"
"1178","fibula","","two","champions"
"1179","aberration","","two","champions"
"1180","necrotic","","two","champions"
"1181","eminent","","two","champions"
"1182","demographics","","two","champions"
"1183","Jurassic","","two","champions"
"1184","myoglobin","","two","champions"
"1185","frugal","","two","champions"
"1186","achromatic","","two","champions"
"1187","miscible","","two","champions"
"1188","soprano","","two","champions"
"1189","cutis","","two","champions"
"1190","hyrax","","two","champions"
"1191","truncheon","","two","champions"
"1192","educand","","two","champions"
"1193","Realtor","","two","champions"
"1194","billabong","","two","champions"
"1195","bariatrics","","two","champions"
"1196","throughout","","two","champions"
"1197","propulsion","","two","champions"
"1198","assailant","","two","champions"
"1199","charioteer","","two","champions"
"1200","solicit","","two","champions"
"1201","melismatic","","two","champions"
"1202","spurious","","two","champions"
"1203","tempeh","","two","champions"
"1204","statistician","","two","champions"
"1205","ibuprofen","","two","champions"
"1206","injurious","","two","champions"
"1207","anglophile","","two","champions"
"1208","defiant","","two","champions"
"1209","substitute","","two","champions"
"1210","quiddity","","two","champions"
"1211","karst","","two","champions"
"1212","Brigadoon","","two","champions"
"1213","vestibule","","two","champions"
"1214","ballyhooed","","two","champions"
"1215","arpeggio","","two","champions"
"1216","lupine","","two","champions"
"1217","resuscitate","","two","champions"
"1218","approbatory","","two","champions"
"1219","catalepsy","","two","champions"
"1220","labyrinthine","","two","champions"
"1221","notoriety","","two","champions"
"1222","subterranean","","two","champions"
"1223","aubergine","","two","champions"
"1224","jalapeño","","two","champions"
"1225","attributive","","two","champions"
"1226","plutonomy","","two","champions"
"1227","lobotomy","","two","champions"
"1228","assumption","","two","champions"
"1229","entrepreneur","","two","champions"
"1230","besieged","","two","champions"
"1231","placoderm","","two","champions"
"1232","hermitage","","two","champions"
"1233","permutation","","two","champions"
"1234","conference","","two","champions"
"1235","woebegone","","two","champions"
"1236","resplendence","","two","champions"
"1237","aphasia","","two","champions"
"1238","environs","","two","champions"
"1239","celebratory","","two","champions"
"1240","cornucopia","","two","champions"
"1241","prominent","","two","champions"
"1242","archetype","","two","champions"
"1243","travails","","two","champions"
"1244","antipathy","","two","champions"
"1245","leviathan","","two","champions"
"1246","alpaca","","two","champions"
"1247","duress","","two","champions"
"1248","eucalyptus","","two","champions"
"1249","rambunctious","","two","champions"
"1250","ingenuous","","two","champions"
"1251","phonetician","","two","champions"
"1252","macular","","two","champions"
"1253","simpatico","","two","champions"
"1254","adhesion","","two","champions"
"1255","rennet","","two","champions"
"1256","pinnacle","","two","champions"
"1257","avalanche","","two","champions"
"1258","cadge","","two","champions"
"1259","exodus","","two","champions"
"1260","philosophize","","two","champions"
"1261","Requiem","","two","champions"
"1262","glitterati","","two","champions"
"1263","transference","","two","champions"
"1264","uveal","","two","champions"
"1265","candelabrum","","two","champions"
"1266","vacillate","","two","champions"
"1267","phenotype","","two","champions"
"1268","transposable","","two","champions"
"1269","thrasonical","","two","champions"
"1270","trepanation","","two","champions"
"1271","Holstein","","two","champions"
"1272","quadrillion","","two","champions"
"1273","tardigrade","","two","champions"
"1274","varsity","","two","champions"
"1275","scholarship","","two","champions"
"1276","filbert","","two","champions"
"1277","Galahad","","two","champions"
"1278","jadeite","","two","champions"
"1279","peripheral","","two","champions"
"1280","elevator","","two","champions"
"1281","chaperonage","","two","champions"
"1282","frittata","","two","champions"
"1283","vandalize","","two","champions"
"1284","chancellor","","two","champions"
"1285","pauper","","two","champions"
"1286","epoch","","two","champions"
"1287","dumbwaiter","","two","champions"
"1288","allergenic","","two","champions"
"1289","vocabulary","","two","champions"
"1290","vassal","","two","champions"
"1291","panary","","two","champions"
"1292","tangerine","","two","champions"
"1293","pervasive","","two","champions"
"1294","haphazard","","two","champions"
"1295","legislature","","two","champions"
"1296","shenanigans","","two","champions"
"1297","inclusion","","two","champions"
"1298","physicists","","two","champions"
"1299","tempura","","two","champions"
"1300","reggae","","two","champions"
"1301","futility","","two","champions"
"1302","untenable","","two","champions"
"1303","feudalism","","two","champions"
"1304","malevolent","","two","champions"
"1305","posada","","two","champions"
"1306","acquiesce","","two","champions"
"1307","apothecary","","two","champions"
"1308","summary","","two","champions"
"1309","brogue","","two","champions"
"1310","suet","","two","champions"
"1311","koto","","two","champions"
"1312","jingoism","","two","champions"
"1313","satchel","","two","champions"
"1314","evanescent","","two","champions"
"1315","diverge","","two","champions"
"1316","exemplar","","two","champions"
"1317","marsupial","","two","champions"
"1318","trefoil","","two","champions"
"1319","designer","","two","champions"
"1320","leisure","","two","champions"
"1321","vague","","two","champions"
"1322","wharf","","two","champions"
"1323","altercation","","two","champions"
"1324","fratority","","two","champions"
"1325","cataclysmic","","two","champions"
"1326","metatarsal","","two","champions"
"1327","bereavement","","two","champions"
"1328","carbohydrates","","two","champions"
"1329","sesame","","two","champions"
"1330","palatable","","two","champions"
"1331","gratis","","two","champions"
"1332","nonvolatile","","two","champions"
"1333","juvenilia","","two","champions"
"1334","fomentation","","two","champions"
"1335","reprisal","","two","champions"
"1336","astrobleme","","two","champions"
"1337","sabotage","","two","champions"
"1338","absolution","","two","champions"
"1339","rutabaga","","two","champions"
"1340","espousal","","two","champions"
"1341","virulence","","two","champions"
"1342","allocable","","two","champions"
"1343","effraction","","two","champions"
"1344","limousine","","two","champions"
"1345","drupiferous","","two","champions"
"1346","organelle","","two","champions"
"1347","osprey","","two","champions"
"1348","elusive","","two","champions"
"1349","disproportionate","","two","champions"
"1350","cayenne","","two","champions"
"1351","tabernacle","","two","champions"
"1352","phosphorescent","","two","champions"
"1353","anxiety","","two","champions"
"1354","conch","","two","champions"
"1355","singultus","","two","champions"
"1356","impromptu","","two","champions"
"1357","oracle","","two","champions"
"1358","condemn","","two","champions"
"1359","scenographer","","two","champions"
"1360","neuroticism","","two","champions"
"1361","cannoli","","two","champions"
"1362","platoon","","two","champions"
"1363","solstice","","two","champions"
"1364","swannery","","two","champions"
"1365","probative","","two","champions"
"1366","oblique","","two","champions"
"1367","buoyancy","","two","champions"
"1368","situation","","two","champions"
"1369","lumbar","","two","champions"
"1370","topiary","","two","champions"
"1371","reverberant","","two","champions"
"1372","yeanling","","two","champions"
"1373","homicide","","two","champions"
"1374","graphologist","","two","champions"
"1375","principality","","two","champions"
"1376","Nostradamus","","two","champions"
"1377","taxonomic","","two","champions"
"1378","beret","","two","champions"
"1379","talisman","","two","champions"
"1380","impecunious","","two","champions"
"1381","reciprocity","","two","champions"
"1382","molecule","","two","champions"
"1383","millennial","","two","champions"
"1384","ineffable","","two","champions"
"1385","abnegation","","two","champions"
"1386","beguile","","two","champions"
"1387","centenary","","two","champions"
"1388","matrimony","","two","champions"
"1389","errata","","two","champions"
"1390","stipulate","","two","champions"
"1391","naïveté","naiveté","two","champions"
"1392","cadence","","two","champions"
"1393","fido","","two","champions"
"1394","vehicular","","two","champions"
"1395","sabbatical","","two","champions"
"1396","ermine","","two","champions"
"1397","pugilist","","two","champions"
"1398","tapioca","","two","champions"
"1399","festooned","","two","champions"
"1400","tectonic","","two","champions"
"1401","wizened","","two","champions"
"1402","tomfoolery","","two","champions"
"1403","harrumph","","two","champions"
"1404","embezzlement","","two","champions"
"1405","fallacy","","two","champions"
"1406","asylum","","two","champions"
"1407","remuneration","","two","champions"
"1408","expostulate","","two","champions"
"1409","integument","","two","champions"
"1410","Hebrides","","two","champions"
"1411","macaw","","two","champions"
"1412","perspicacious","","two","champions"
"1413","reimbursable","","two","champions"
"1414","jambalaya","","two","champions"
"1415","geriatric","","two","champions"
"1416","striation","","two","champions"
"1417","Appaloosa","","two","champions"
"1418","ramifications","","two","champions"
"1419","temerity","","two","champions"
"1420","egress","","two","champions"
"1421","geocaching","","two","champions"
"1422","instigate","","two","champions"
"1423","obscure","","two","champions"
"1424","transcription","","two","champions"
"1425","muchacha","","two","champions"
"1426","steppe","","two","champions"
"1427","palpitant","","two","champions"
"1428","nonchalance","","two","champions"
"1429","realm","","two","champions"
"1430","estuary","","two","champions"
"1431","technician","","two","champions"
"1432","dietetic","","two","champions"
"1433","homage","","two","champions"
"1434","cumulus","","two","champions"
"1435","essential","","two","champions"
"1436","seraphic","","two","champions"
"1437","cameist","","two","champions"
"1438","scrumptiously","","two","champions"
"1439","toploftical","","two","champions"
"1440","noctambulist","","two","champions"
"1441","visibility","","two","champions"
"1442","ligament","","two","champions"
"1443","plenitude","","two","champions"
"1444","illustrious","","two","champions"
"1445","symmetrical","","two","champions"
"1446","pendulous","","two","champions"
"1447","analepsis","","two","champions"
"1448","mitigative","","two","champions"
"1449","pyrite","","two","champions"
"1450","sacrifice","","two","champions"
"1451","consternation","","two","champions"
"1452","escalator","","two","champions"
"1453","impasto","","two","champions"
"1454","antagonistic","","two","champions"
"1455","affront","","two","champions"
"1456","element","","two","champions"
"1457","desolate","","two","champions"
"1458","truncate","","two","champions"
"1459","pedicure","","two","champions"
"1460","caftan","kaftan","two","champions"
"1461","ingratiate","","two","champions"
"1462","sousaphone","","two","champions"
"1463","amalgam","","two","champions"
"1464","carnage","","two","champions"
"1465","turmeric","","two","champions"
"1466","zoolatry","","two","champions"
"1467","ricochet","","two","champions"
"1468","hackneyed","","two","champions"
"1469","vespertine","","two","champions"
"1470","brusque","brusk","two","champions"
"1471","erstwhile","","two","champions"
"1472","lolled","","two","champions"
"1473","osteopath","","two","champions"
"1474","kaiser","","two","champions"
"1475","imperious","","two","champions"
"1476","Egyptian","","two","champions"
"1477","foible","","two","champions"
"1478","lousicide","","two","champions"
"1479","ewer","","two","champions"
"1480","curfew","","two","champions"
"1481","schism","","two","champions"
"1482","dilapidated","","two","champions"
"1483","peony","","two","champions"
"1484","urgency","","two","champions"
"1485","bifurcate","","two","champions"
"1486","drivel","","two","champions"
"1487","jettison","","two","champions"
"1488","Promethean","","two","champions"
"1489","embassy","","two","champions"
"1490","contemptuous","","two","champions"
"1491","okapi","","two","champions"
"1492","welterweight","","two","champions"
"1493","scrooge","","two","champions"
"1494","morose","","two","champions"
"1495","osmosis","","two","champions"
"1496","flimflammer","","two","champions"
"1497","astringent","","two","champions"
"1498","mademoiselle","","two","champions"
"1499","nouveau","","two","champions"
"1500","heterochromia","","two","champions"
"1501","consul","","two","champions"
"1502","hermetically","","two","champions"
"1503","excursion","","two","champions"
"1504","dreadlocks","","two","champions"
"1505","theriatrics","","two","champions"
"1506","cumbersome","","two","champions"
"1507","affluent","","two","champions"
"1508","chastise","","two","champions"
"1509","colic","","two","champions"
"1510","atomic","","two","champions"
"1511","fêng","","two","champions"
"1512","shui","","two","champions"
"1513","acuity","","two","champions"
"1514","subliminal","","two","champions"
"1515","charismatic","","two","champions"
"1516","phoenix","","two","champions"
"1517","bastion","","two","champions"
"1518","edamame","","two","champions"
"1519","porcelain","","two","champions"
"1520","deglaciation","","two","champions"
"1521","recruit","","two","champions"
"1522","tableau","","two","champions"
"1523","sheldrake","","two","champions"
"1524","suitable","","two","champions"
"1525","cenotaph","","two","champions"
"1526","Plumeria","","two","champions"
"1527","perpetrator","","two","champions"
"1528","cinematic","","two","champions"
"1529","wallaby","","two","champions"
"1530","contrivance","","two","champions"
"1531","suffrage","","two","champions"
"1532","thyme","","two","champions"
"1533","phlebotomy","","two","champions"
"1534","anemic","anaemic","two","champions"
"1535","depravity","","two","champions"
"1536","effervescent","","two","champions"
"1537","soirée","soiree","two","champions"
"1538","churros","","two","champions"
"1539","diadem","","two","champions"
"1540","larceny","","two","champions"
"1541","acetaminophen","","two","champions"
"1542","parochial","","two","champions"
"1543","earnestly","","two","champions"
"1544","gaffe","gaff","two","champions"
"1545","ostensibly","","two","champions"
"1546","nervily","","two","champions"
"1547","gingivitis","","two","champions"
"1548","patience","","two","champions"
"1549","quittance","","two","champions"
"1550","tenement","","two","champions"
"1551","soothsayer","","two","champions"
"1552","varicose","","two","champions"
"1553","adage","","two","champions"
"1554","cicada","","two","champions"
"1555","mauve","","two","champions"
"1556","emeritus","","two","champions"
"1557","suture","","two","champions"
"1558","obfuscate","","two","champions"
"1559","casualty","","two","champions"
"1560","perseverance","","two","champions"
"1561","apparatus","","two","champions"
"1562","myopic","","two","champions"
"1563","ebullience","","two","champions"
"1564","clairvoyance","","two","champions"
"1565","impetus","","two","champions"
"1566","affianced","","two","champions"
"1567","archaism","","two","champions"
"1568","commodious","","two","champions"
"1569","austere","","two","champions"
"1570","severance","","two","champions"
"1571","financier","","two","champions"
"1572","wildebeest","","two","champions"
"1573","asado","","two","champions"
"1574","limpa","","two","champions"
"1575","adolescence","","two","champions"
"1576","menagerie","","two","champions"
"1577","hallucinate","","two","champions"
"1578","opprobrious","","two","champions"
"1579","nocturnal","","two","champions"
"1580","redolent","","two","champions"
"1581","vendage","","two","champions"
"1582","entente","","two","champions"
"1583","boomslang","","two","champions"
"1584","circuitous","","two","champions"
"1585","veracity","","two","champions"
"1586","marionette","","two","champions"
"1587","Neapolitan","","two","champions"
"1588","chintzy","","two","champions"
"1589","genteel","","two","champions"
"1590","requisition","","two","champions"
"1591","stimuli","","two","champions"
"1592","schooner","","two","champions"
"1593","declamatory","","two","champions"
"1594","embryo","","two","champions"
"1595","languorous","","two","champions"
"1596","stevia","","two","champions"
"1597","phycology","","two","champions"
"1598","malaise","","two","champions"
"1599","staid","","two","champions"
"1600","acerbity","","two","champions"
"1601","inimical","","two","champions"
"1602","kaleidoscope","","two","champions"
"1603","gluttonous","","two","champions"
"1604","gypsum","","two","champions"
"1605","polypeptide","","two","champions"
"1606","wushu","","two","champions"
"1607","contradictory","","two","champions"
"1608","penitentiary","","two","champions"
"1609","umbrage","","two","champions"
"1610","crustaceans","","two","champions"
"1611","bubonic","","two","champions"
"1612","sartorial","","two","champions"
"1613","escarpment","","two","champions"
"1614","Celsius","","two","champions"
"1615","dialysis","","two","champions"
"1616","humidistat","","two","champions"
"1617","sardonic","","two","champions"
"1618","braille","","two","champions"
"1619","vignette","","two","champions"
"1620","adjudicate","","two","champions"
"1621","caricature","","two","champions"
"1622","emerald","","two","champions"
"1623","liege","","two","champions"
"1624","wilco","","two","champions"
"1625","germane","","two","champions"
"1626","bacteriolytic","","two","champions"
"1627","rhododendron","","two","champions"
"1628","ineptitude","","two","champions"
"1629","academese","","two","champions"
"1630","registrar","","two","champions"
"1631","alma","","two","champions"
"1632","mater","","two","champions"
"1633","comedienne","","two","champions"
"1634","cutaneous","","two","champions"
"1635","gnarled","","two","champions"
"1636","hydroponic","","two","champions"
"1637","combustible","","two","champions"
"1638","factorial","","two","champions"
"1639","dolma","","two","champions"
"1640","sapphire","","two","champions"
"1641","prevenient","","two","champions"
"1642","Edenic","","two","champions"
"1643","tributary","","two","champions"
"1644","laudatory","","two","champions"
"1645","jitney","","two","champions"
"1646","wattage","","two","champions"
"1647","papillon","","two","champions"
"1648","vertigo","","two","champions"
"1649","accumulate","","two","champions"
"1650","deltoidal","","two","champions"
"1651","opulent","","two","champions"
"1652","paramecium","","two","champions"
"1653","monochrome","","two","champions"
"1654","facade","façade","two","champions"
"1655","evaporation","","two","champions"
"1656","bittern","","two","champions"
"1657","flotsam","","two","champions"
"1658","discombobulate","","two","champions"
"1659","scrutiny","","two","champions"
"1660","concatenate","","two","champions"
"1661","impeachable","","two","champions"
"1662","residue","","two","champions"
"1663","halibut","","two","champions"
"1664","spectrometer","","two","champions"
"1665","circadian","","two","champions"
"1666","servitude","","two","champions"
"1667","traverse","","two","champions"
"1668","tungsten","","two","champions"
"1669","vineyard","","two","champions"
"1670","interrogative","","two","champions"
"1671","scullery","","two","champions"
"1672","tiramisu","","two","champions"
"1673","exaggerate","","two","champions"
"1674","enoki","","two","champions"
"1675","profundity","","two","champions"
"1676","mantra","","two","champions"
"1677","escarole","","two","champions"
"1678","nanotechnology","","two","champions"
"1679","bureau","","two","champions"
"1680","burglarious","","two","champions"
"1681","cryptozoa","","two","champions"
"1682","preponderance","","two","champions"
"1683","bruxism","","two","champions"
"1684","psychoanalysis","","two","champions"
"1685","calendar","","two","champions"
"1686","reiterate","","two","champions"
"1687","remorseful","","two","champions"
"1688","cybernetics","","two","champions"
"1689","garniture","","two","champions"
"1690","twilight","","two","champions"
"1691","proletarian","","two","champions"
"1692","vantage","","two","champions"
"1693","discountenance","","two","champions"
"1694","stupefy","","two","champions"
"1695","irrevocable","","two","champions"
"1696","trellis","","two","champions"
"1697","juxtapose","","two","champions"
"1698","hydrangea","","two","champions"
"1699","slalom","","two","champions"
"1700","corollary","","two","champions"
"1701","étude","","two","champions"
"1702","cranium","","two","champions"
"1703","equivalent","","two","champions"
"1704","portentous","","two","champions"
"1705","nepotism","","two","champions"
"1706","truffle","","two","champions"
"1707","varicella","","two","champions"
"1708","tonsillitis","","two","champions"
"1709","thoracic","","two","champions"
"1710","proviso","","two","champions"
"1711","netiquette","","two","champions"
"1712","paucity","","two","champions"
"1713","doldrums","","two","champions"
"1714","slumgullion","","two","champions"
"1715","valedictorian","","two","champions"
"1716","auspices","","two","champions"
"1717","elaborative","","two","champions"
"1718","proprietary","","two","champions"
"1719","adieu","","two","champions"
"1720","tenaciously","","two","champions"
"1721","indemnity","","two","champions"
"1722","cyanosis","","two","champions"
"1723","regurgitate","","two","champions"
"1724","stegosaur","","two","champions"
"1725","statuesque","","two","champions"
"1726","nectarine","","two","champions"
"1727","galvanize","","two","champions"
"1728","agonistic","","two","champions"
"1729","rosin","","two","champions"
"1730","burial","","two","champions"
"1731","bulwark","","two","champions"
"1732","iridescent","","two","champions"
"1733","quince","","two","champions"
"1734","cyclone","","two","champions"
"1735","usurper","","two","champions"
"1736","phraseology","","two","champions"
"1737","caramel","","two","champions"
"1738","pecuniary","","two","champions"
"1739","cornea","","two","champions"
"1740","resilience","","two","champions"
"1741","apiary","","two","champions"
"1742","ronin","","two","champions"
"1743","tropical","","two","champions"
"1744","pontiff","","two","champions"
"1745","omniscient","","two","champions"
"1746","capacity","","two","champions"
"1747","sewage","","two","champions"
"1748","epoxy","","two","champions"
"1749","discreetly","","two","champions"
"1750","sieve","","two","champions"
"1751","trounce","","two","champions"
"1752","hydrophobia","","two","champions"
"1753","nascent","naissant","two","champions"
"1754","ingot","","two","champions"
"1755","nubuck","","two","champions"
"1756","jocularity","","two","champions"
"1757","unfurl","","two","champions"
"1758","calculator","","two","champions"
"1759","corduroy","","two","champions"
"1760","encore","","two","champions"
"1761","hollyhock","","two","champions"
"1762","qualms","","two","champions"
"1763","mosaic","","two","champions"
"1764","centipede","","two","champions"
"1765","attendee","","two","champions"
"1766","nomenclature","","two","champions"
"1767","botany","","two","champions"
"1768","Holocaust","","two","champions"
"1769","augment","","two","champions"
"1770","acoustic","","two","champions"
"1771","eruption","","two","champions"
"1772","auburn","","two","champions"
"1773","virtually","","two","champions"
"1774","glissando","","two","champions"
"1775","stomach","","two","champions"
"1776","demonstrative","","two","champions"
"1777","megalomaniac","","two","champions"
"1778","posse","","two","champions"
"1779","declension","","two","champions"
"1780","berserk","","two","champions"
"1781","cathedral","","two","champions"
"1782","deciduous","","two","champions"
"1783","baleen","","two","champions"
"1784","Einstein","","two","champions"
"1785","municipal","","two","champions"
"1786","adversaria","","two","champions"
"1787","turbinado","","two","champions"
"1788","brethren","","two","champions"
"1789","tympanum","","two","champions"
"1790","fisticuffs","","two","champions"
"1791","propinquity","","two","champions"
"1792","epidermis","","two","champions"
"1793","carriage","","two","champions"
"1794","abstemious","","two","champions"
"1795","echinoderm","","two","champions"
"1796","optimum","","two","champions"
"1797","pathogen","","two","champions"
"1798","acrostic","","two","champions"
"1799","anthropology","","two","champions"
"1800","cruciferous","","two","champions"
"1801","macchiato","","two","champions"
"1802","ancillary","","two","champions"
"1803","toile","","two","champions"
"1804","plaudits","","two","champions"
"1805","serenade","","two","champions"
"1806","heptad","","two","champions"
"1807","engineer","","two","champions"
"1808","pilcrow","","two","champions"
"1809","porosity","","two","champions"
"1810","tandoori","","two","champions"
"1811","succumb","","two","champions"
"1812","fervently","","two","champions"
"1813","divestiture","","two","champions"
"1814","roseola","","two","champions"
"1815","installation","","two","champions"
"1816","harbinger","","two","champions"
"1817","raptatorial","","two","champions"
"1818","sobriety","","two","champions"
"1819","manumit","","two","champions"
"1820","dentifrice","","two","champions"
"1821","collegiality","","two","champions"
"1822","inclement","","two","champions"
"1823","celery","","two","champions"
"1824","idiosyncratic","","two","champions"
"1825","burgoo","","two","champions"
"1826","occupancy","","two","champions"
"1827","coriander","","two","champions"
"1828","amnesty","","two","champions"
"1829","condensation","","two","champions"
"1830","aqueduct","","two","champions"
"1831","ferret","","two","champions"
"1832","widdershins","","two","champions"
"1833","hostile","","two","champions"
"1834","subsequent","","two","champions"
"1835","whet","","two","champions"
"1836","blatant","","two","champions"
"1837","pyramid","","two","champions"
"1838","terminus","","two","champions"
"1839","agitation","","two","champions"
"1840","tremulous","","two","champions"
"1841","scythe","","two","champions"
"1842","duplicitous","","two","champions"
"1843","protectorate","","two","champions"
"1844","placards","","two","champions"
"1845","corral","","two","champions"
"1846","credulity","","two","champions"
"1847","dissonance","","two","champions"
"1848","shoji","","two","champions"
"1849","auditorium","","two","champions"
"1850","reconcilable","","two","champions"
"1851","evaluate","","two","champions"
"1852","mastodon","","two","champions"
"1853","denticulate","","two","champions"
"1854","supplicate","","two","champions"
"1855","torsion","","two","champions"
"1856","justiciable","","two","champions"
"1857","vernal","","two","champions"
"1858","aardvark","","two","champions"
"1859","census","","two","champions"
"1860","stagflation","","two","champions"
"1861","brontophobia","","two","champions"
"1862","macrobiotics","","two","champions"
"1863","glareous","","two","champions"
"1864","rejuvenate","","two","champions"
"1865","tubular","","two","champions"
"1866","dodecahedron","","two","champions"
"1867","rictus","","two","champions"
"1868","vengeance","","two","champions"
"1869","modular","","two","champions"
"1870","kleptocrat","","two","champions"
"1871","neuropathy","","two","champions"
"1872","surrealist","","two","champions"
"1873","secession","","two","champions"
"1874","digression","","two","champions"
"1875","intricate","","two","champions"
"1876","annotate","","two","champions"
"1877","vehemence","","two","champions"
"1878","fervorous","","two","champions"
"1879","septennial","","two","champions"
"1880","hypotenuse","","two","champions"
"1881","emancipatory","","two","champions"
"1882","supine","","two","champions"
"1883","fracas","","two","champions"
"1884","disrepair","","two","champions"
"1885","photogenic","","two","champions"
"1886","rehearsal","","two","champions"
"1887","irritability","","two","champions"
"1888","vainglorious","","two","champions"
"1889","ataxia","","two","champions"
"1890","pageantry","","two","champions"
"1891","vinegar","","two","champions"
"1892","fiduciary","","two","champions"
"1893","emulsify","","two","champions"
"1894","lorikeet","","two","champions"
"1895","malfeasance","","two","champions"
"1896","sequential","","two","champions"
"1897","intersperse","","two","champions"
"1898","numerology","","two","champions"
"1899","Paleozoic","","two","champions"
"1900","funnel","","two","champions"
"1901","syndicate","","two","champions"
"1902","chrysalis","","two","champions"
"1903","bethesda","","two","champions"
"1904","cartilage","","two","champions"
