id,word,alt,type,bee,group,origin,nTried,nMistakes,weight
700,ecotourism,,,one,champions,,1,0,1
701,cascade,,,one,champions,,1,0,1
702,recyclable,,,one,champions,,1,0,1
703,serpentine,,,one,champions,,1,0,1
704,beverage,,,one,champions,,1,0,1
705,weather,,,one,champions,,1,0,1
706,lifetime,,,one,champions,,1,0,1
707,grits,,,one,study,,1,0,1
708,foothills,,,one,champions,,1,0,1
709,cloying,,,one,champions,,1,0,1
710,blemish,,,one,champions,,1,0,1
711,standard,,,one,champions,,1,0,1
712,default,,,one,champions,,1,0,1
713,system,,,one,champions,,1,0,1
714,hotel,,,one,study,,1,0,1
715,bombard,,,one,champions,,1,0,1
716,dilemma,,,one,champions,,1,0,1
717,pencil,,,one,champions,,1,0,1
718,panorama,,,one,champions,,1,0,1
719,brilliant,,,one,champions,,1,0,1
720,groove,,,one,champions,,1,0,1
721,vouch,,,one,champions,,1,0,1
722,calico,,,one,champions,,1,0,1
723,blizzard,,,one,champions,,1,0,1
724,thimblerig,,,one,champions,,1,0,1
725,ascribe,,,one,champions,,1,0,1
726,winnow,,,one,champions,,1,0,1
727,hubbub,,,one,champions,,1,0,1
728,acorn,,,one,champions,,1,0,1
729,torch,,,one,champions,,1,0,1
730,timidly,,,one,champions,,1,0,1
731,ounce,,,one,champions,,1,0,1
732,January,,,one,champions,,1,0,1
733,opinionated,,,one,champions,,1,0,1
734,chips,,,one,study,,1,0,1
735,moose,,,one,champions,,1,0,1
736,pamper,,,one,champions,,1,0,1
737,restaurant,,,one,champions,,1,1,1
738,casino,,,one,champions,,1,0,1
739,despicable,,,one,champions,,1,0,1
740,nephew,,,one,champions,,1,0,1
741,dim,,,one,champions,,1,0,1
742,drool,,,one,study,,1,0,1
743,basement,,,one,study,,1,0,1
744,hospitality,,,one,champions,,1,0,1
745,rules,,,one,champions,,1,0,1
746,studio,,,one,champions,,1,0,1
747,mastiff,,,one,champions,,1,0,1
748,kudos,,,one,champions,,1,1,1
749,scheme,,,one,champions,,1,0,1
750,turtle,,,one,champions,,1,0,1
751,uncle,,,one,champions,,1,0,1
752,sweeten,,,one,study,,1,0,1
753,fraught,,,one,champions,,1,0,1
754,emperor,,,one,champions,,1,0,1
755,sunflower,,,one,champions,,1,0,1
756,wan,,,one,champions,,1,1,1
757,jewel,,,one,champions,,1,0,1
758,laser,,,one,champions,,1,0,1
759,theme,,,one,champions,,1,0,1
760,premium,,,one,champions,,1,0,1
761,wafer,,,one,champions,,1,0,1
762,robin,,,one,champions,,1,0,1
763,waited,,,one,study,,1,0,1
764,pear,,,one,champions,,1,0,1
765,frequently,,,one,champions,,1,0,1
766,monarch,,,one,champions,,1,0,1
767,winsome,,,one,champions,,1,0,1
768,faculty,,,one,champions,,1,0,1
769,trivia,,,one,champions,,1,0,1
770,cheer,,,one,study,,1,0,1
771,compilation,,,one,champions,,1,0,1
772,literacy,,,one,champions,,1,0,1
773,respect,,,one,champions,,1,0,1
774,guess,,,one,champions,,1,0,1
775,clever,,,one,study,,1,0,1
776,sourly,,,one,champions,,1,0,1
777,villa,,,one,champions,,1,0,1
778,toughness,,,one,champions,,1,0,1
779,megahertz,,,one,champions,,1,0,1
780,local,,,one,study,,1,0,1
781,recoup,,,one,champions,,1,0,1
782,swallow,,,one,champions,,1,0,1
783,decision,,,one,champions,,1,0,1
784,film,,,one,study,,1,0,1
785,nuisance,,,one,champions,,1,0,1
786,scumble,,,one,champions,,1,0,1
787,postpone,,,one,champions,,1,0,1
788,shopaholic,,,one,champions,,1,1,1
789,priority,,,one,champions,,1,0,1
790,veteran,,,one,champions,,1,0,1
791,nurture,,,one,champions,,1,0,1
792,heroic,,,one,champions,,1,0,1
793,fragrance,,,one,champions,,1,0,1
794,gallop,,,two,study,,1,0,1
795,dinosaur,,,two,study,,1,0,1
796,brought,,,two,study,,1,0,1
797,ancient,,,two,study,,1,0,1
798,earthquake,,,two,study,,1,0,1
799,tapestry,,,two,study,,1,0,1
800,delivery,,,two,study,,1,0,1
801,attagirl,,,two,study,,1,0,1
802,plaid,,,two,study,,1,1,1
803,disparate,,,two,champions,,1,0,1
804,tensile,,,two,champions,,1,0,1
805,fixity,,,two,study,,1,0,1
806,debilitate,,,two,champions,,1,0,1
807,unabated,,,two,champions,,1,0,1
808,lackadaisical,,,two,champions,,1,0,1
809,seize,,,two,champions,,1,0,1
810,feasibility,,,two,champions,,1,1,1
811,stratosphere,,,two,champions,,1,0,1
812,emulsify,,,two,champions,,1,0,1
813,armadillo,,,two,champions,,1,0,1
814,incident,,,two,study,,1,0,1
815,testimony,,,two,champions,,1,0,1
816,myopic,,,two,champions,,1,1,1
817,millennial,,,two,champions,,1,1,1
818,sapphire,,,two,champions,,1,0,1
819,idyllic,,,two,champions,,1,0,1
820,inclement,,,two,champions,,1,0,1
821,reimbursable,,,two,champions,,1,0,1
822,shingle,,,two,study,,1,0,1
823,beautician,,,two,champions,,1,0,1
824,Dalmatian,,,two,champions,,1,0,1
825,cybernetics,,,two,champions,,1,1,1
826,tepidity,,,two,champions,,1,1,1
827,enervate,,,two,champions,,1,2,1
828,elevator,,,two,champions,,1,0,1
829,acuity,,,two,champions,,1,1,1
830,penitentiary,,,two,champions,,1,0,1
831,malacology,,,two,champions,,1,3,1
832,proprietary,,,two,champions,,1,1,1
833,sprawl,,,two,study,,1,0,1
834,stamina,,,two,champions,,1,0,1
835,derogatory,,,two,study,,1,0,1
836,generation,,,two,study,,1,0,1
837,xenoglossy,,,two,champions,,1,1,1
838,parochial,,,two,champions,,1,1,1
839,xylyl,,,two,study,,1,0,1
840,vineyard,,,two,champions,,1,0,1
841,shoji,,,two,champions,,1,1,1
842,abundance,,,two,study,,1,0,1
843,vacuousness,,,two,champions,,1,0,1
844,tarry,,,two,study,,1,0,1
845,alpinist,,,two,champions,,1,0,1
846,entrepreneur,,,two,champions,,1,0,1
847,obituary,,,two,champions,,1,0,1
848,reticulated,,,two,champions,,1,0,1
849,suitable,,,two,champions,,1,0,1
850,tuffet,,,two,champions,,1,0,1
851,mittimus,,,two,champions,,1,1,1
852,joule,,,two,champions,,1,1,1
853,McIntosh,,,two,study,,1,2,1
854,earnestly,,,two,champions,,1,1,1
855,infatuation,,,two,champions,,1,0,1
856,vivacious,,,two,champions,,1,0,1
857,pelican,,,two,study,,1,0,1
858,contemptuous,,,two,champions,,1,0,1
859,provincial,,,two,champions,,1,0,1
860,vetiver,,,two,champions,,1,0,1
861,peruse,,,two,champions,,1,0,1
862,colossal,,,two,study,,1,0,1
863,rhombus,,,two,champions,,1,0,1
864,billabong,,,two,champions,,1,0,1
865,consequent,,,two,champions,,1,0,1
866,undergird,,,two,champions,,1,1,1
867,cemetery,,,two,champions,,1,1,1
868,wizened,,,two,champions,,1,0,1
869,compunction,,,two,champions,,1,0,1
870,nova,,,two,champions,,1,0,1
871,ensemble,,,two,champions,,1,0,1
872,calisthenics,,,two,champions,,1,0,1
873,endocrine,,,two,champions,,1,2,1
874,soirée,soiree,No preference,two,champions,,1,0,1
875,algae,,,two,champions,,1,0,1
876,neonatology,,,two,champions,,1,2,1
877,soprano,,,two,champions,,1,0,1
878,fluoride,,,two,champions,,1,0,1
879,definiendum,,,two,champions,,1,0,1
880,requisition,,,two,champions,,1,0,1
881,electrode,,,two,champions,,1,0,1
882,marooned,,,two,champions,,1,0,1
883,Connemara,,,two,study,,1,0,1
884,polypeptide,,,two,champions,,1,0,1
885,quadrilateral,,,two,champions,,1,0,1
886,dietetic,,,two,champions,,1,0,1
887,prestigious,,,two,study,,1,0,1
888,hubris,,,two,champions,,1,1,1
889,abhorrence,,,two,champions,,1,2,1
890,drivel,,,two,champions,,1,0,1
891,premonition,,,two,champions,,1,0,1
892,feudalism,,,two,champions,,1,0,1
893,salience,,,two,champions,,1,2,1
894,scenographer,,,two,champions,,1,1,1
895,festooned,,,two,champions,,1,0,1
896,terabyte,,,two,champions,,1,1,1
897,gurney,,,two,champions,,1,0,1
898,ungetatable,,,two,champions,,1,2,1
899,expiration,,,two,study,,1,0,1
900,habanero,,,two,champions,,1,0,1
901,monocle,,,two,champions,,1,0,1
902,arsenic,,,two,champions,,1,0,1
903,wallaby,,,two,champions,,1,0,1
904,recriminatory,,,two,champions,,1,0,1
905,tonsillitis,,,two,champions,,1,0,1
906,tomahawk,,,two,champions,,1,0,1
907,betrothal,,,two,champions,,1,0,1
908,emeritus,,,two,champions,,1,1,1
909,Paleozoic,,,two,champions,,1,0,1
910,ventriloquy,,,two,champions,,1,1,1
911,taciturn,,,two,champions,,1,0,1
912,extinguish,,,two,champions,,1,0,1
913,fluctuation,,,two,champions,,1,0,1
914,ostensibly,,,two,champions,,1,0,1
915,celebratory,,,two,champions,,1,0,1
916,terrier,,,two,champions,,1,0,1
917,vindictive,,,two,champions,,1,0,1
918,excellence,,,two,champions,,1,0,1
919,quince,,,two,champions,,1,0,1
920,bombastic,,,two,champions,,1,0,1
921,lobotomy,,,two,champions,,1,0,1
922,portrait,,,two,champions,,1,0,1
923,inclusion,,,two,champions,,1,0,1
924,mason,,,two,study,,1,0,1
925,performance,,,two,champions,,1,0,1
926,heredity,,,two,champions,,1,0,1
927,calibrate,,,two,champions,,1,0,1
928,nouveau,,,two,champions,French,1,0,1
929,joists,,,two,study,,1,0,1
930,industrial,,,two,study,,1,0,1
931,napoleon,,,two,champions,,1,1,1
932,fission,,,two,champions,,1,1,1
933,surimi,,,two,champions,Japanese,1,0,1
934,adhesion,,,two,champions,,1,0,1
935,chalk,,,two,study,,1,0,1
936,parliamentary,,,two,champions,,1,0,1
937,pugnacious,,,two,champions,,1,1,1
938,aberration,,,two,champions,,1,1,1
939,solitaire,,,two,champions,,1,0,1
940,inviolable,,,two,champions,,1,0,1
941,splenetic,,,two,champions,,1,0,1
942,havoc,,,two,champions,,1,0,1
943,topgallant,,,two,champions,,1,1,1
944,medieval,mediaeval,Alt,two,champions,,1,0,1
945,redolent,,,two,champions,,1,1,1
946,jingoism,,,two,champions,,1,0,1
947,emporium,,,two,champions,,1,0,1
948,writers,,,two,study,,1,0,1
949,biscuit,,,two,champions,,1,1,1
950,pancetta,,,two,champions,,1,1,1
951,gluttonous,,,two,champions,,1,0,1
952,physicists,,,two,champions,,1,0,1
953,ferret,,,two,champions,,1,0,1
954,endure,,,two,champions,,1,0,1
955,urgency,,,two,champions,,1,0,1
956,diminished,,,two,study,,1,0,1
957,bruxism,,,two,champions,,1,0,1
958,adjudicate,,,two,champions,,1,0,1
959,chinook,,,two,champions,,1,1,1
960,zeppelin,,,two,champions,,1,1,1
961,tempura,,,two,champions,,1,1,1
962,gannet,,,two,study,,1,0,1
963,funambulist,,,two,champions,,1,0,1
964,gyrocopter,,,two,champions,,1,1,1
965,Lascaux,,,two,study,,1,0,1
966,brazenness,,,two,champions,,1,1,1
967,tapioca,,,two,champions,,1,0,1
968,acoustic,,,two,champions,,1,0,1
969,fervorous,,,two,champions,,1,1,1
970,varicose,,,two,champions,,1,0,1
971,tetanus,,,two,champions,,1,0,1
972,posse,,,two,champions,,1,1,1
973,exorbitant,,,two,champions,,1,1,1
974,tomfoolery,,,two,champions,,1,0,1
975,Mars,,,two,study,,1,0,1
976,Mylar,,,two,champions,,1,0,1
977,declamatory,,,two,champions,,1,0,1
978,scarab,,,two,champions,,1,0,1
979,rambunctious,,,two,champions,,1,0,1
980,baklava,baklawa,Alt,two,champions,Turkish,1,1,1
981,juvenilia,,,two,champions,,1,0,1
982,errata,,,two,champions,,1,0,1
983,lupine,,,two,champions,,1,1,1
984,circuitous,,,two,champions,,1,1,1
985,rebarbative,,,two,champions,,1,0,1
986,foible,,,two,champions,,1,0,1
987,altercation,,,two,champions,,1,0,1
988,pharaoh,,,two,champions,,1,1,1
989,truncate,,,two,champions,,1,0,1
990,axiomatic,,,two,champions,,1,0,1
991,turophile,,,two,champions,,1,0,1
992,homage,,,two,champions,,1,0,1
993,cyclone,,,two,champions,,1,0,1
994,exodus,,,two,champions,,1,0,1
995,warrior,,,two,champions,,1,0,1
996,delphinium,,,two,champions,,1,0,1
997,unkempt,,,two,champions,,1,0,1
998,laryngitis,,,two,study,,1,0,1
999,palsy,,,two,study,,1,0,1
1000,gratis,,,two,champions,,1,0,1
1001,Teflon,,,two,study,,1,1,1
1002,superlative,,,two,champions,,1,0,1
1003,senile,,,two,study,,1,0,1
1004,froufrou,,,two,champions,,1,1,1
1005,clandestine,,,two,champions,,1,0,1
1006,pontiff,,,two,champions,,1,0,1
1007,gallium,,,two,study,,1,0,1
1008,lucrative,,,two,champions,,1,0,1
1009,protectorate,,,two,champions,,1,0,1
1010,cherubic,,,two,champions,,1,1,1
1011,haughty,,,two,study,,1,0,1
1012,latency,,,two,champions,,1,0,1
1013,vincible,,,two,champions,,1,0,1
1014,montage,,,two,champions,,1,0,1
1015,udon,,,two,champions,,1,0,1
1016,feng shui,,,two,champions,,1,1,1
1017,luxuriate,,,two,champions,,1,0,1
1018,unilaterally,,,two,champions,,1,0,1
1019,phylum,,,two,champions,New Latin,1,1,1
1020,immolate,,,two,champions,,1,1,1
1021,toploftical,,,two,champions,,1,0,1
1022,wayward,,,two,champions,,1,0,1
1023,Requiem,,,two,champions,,1,1,1
1024,equivalent,,,two,champions,,1,0,1
1025,cameist,,,two,champions,,1,0,1
1026,graphologist,,,two,champions,,1,0,1
1027,coverage,,,two,study,,1,0,1
1028,tungsten,,,two,champions,,1,0,1
1029,triglycerides,,,two,champions,,1,0,1
1030,gourd,,,two,champions,,1,0,1
1031,spectrometer,,,two,champions,,1,0,1
1032,braggart,,,two,champions,,1,0,1
1033,nubuck,,,two,champions,,1,1,1
1034,façade,,,two,champions,French,1,1,1
1035,sequester,,,two,champions,,1,0,1
1036,obstreperous,,,two,champions,,1,1,1
1037,putrescent,,,two,champions,,1,0,1
1038,caveat,,,two,champions,,1,1,1
1039,resonate,,,two,champions,,1,0,1
1040,slovenly,,,two,champions,,1,0,1
1041,phonics,,,two,champions,,1,0,1
1042,minuscule,miniscule,Alt,two,champions,,1,0,1
1043,adulation,,,two,champions,,1,1,1
1044,circadian,,,two,champions,,1,0,1
1045,sciatica,,,two,champions,,1,0,1
1046,usurper,,,two,champions,,1,0,1
1047,apprentice,,,two,study,,1,0,1
1048,messenger,,,two,study,,1,0,1
1049,pterodactyl,,,two,champions,,1,0,1
1050,heliotrope,,,two,champions,,1,1,1
1051,sobriety,,,two,champions,,1,0,1
1052,millivolt,,,two,champions,,1,0,1
1053,perfection,,,two,study,,1,0,1
1054,fracas,,,two,champions,,1,1,1
1055,optometry,,,two,champions,,1,0,1
1056,bifurcate,,,two,champions,,1,0,1
1057,phonetician,,,two,champions,,1,0,1
1058,nautilus,,,two,champions,,1,0,1
1059,derisive,,,two,champions,,1,0,1
1060,necrotic,,,two,champions,,1,1,1
1061,Apollo,,,two,study,,1,0,1
1062,appetite,,,two,study,,1,0,1
1063,cutis,,,two,champions,,1,1,1
1064,duress,,,two,champions,,1,0,1
1065,mycology,,,two,champions,,1,0,1
1066,alacrity,,,two,champions,,1,0,1
1067,antagonistic,,,two,champions,,1,1,1
1068,legislature,,,two,champions,,1,0,1
1069,rictus,,,two,champions,,1,0,1
1070,evaluate,,,two,champions,,1,0,1
1071,carcinogenic,,,two,champions,,1,1,1
1072,ransom,,,two,champions,,1,0,1
1073,inducement,,,two,champions,,1,0,1
1074,phenotype,,,two,champions,Greek,1,0,1
1075,Neapolitan,,,two,champions,,1,1,1
1076,malleable,,,two,champions,,1,0,1
1077,cedar,,,two,champions,,1,0,1
1078,bethesda,,,two,champions,,1,1,1
1079,transistor,,,two,study,,1,0,1
1080,submersible,,,two,champions,,1,0,1
1081,cardiopathy,,,two,champions,,1,0,1
1082,depravity,,,two,champions,,1,0,1
1083,bellwether,,,two,champions,,1,1,1
1084,ingot,,,two,champions,,1,0,1
1085,dramaturgy,,,two,champions,,1,0,1
1086,caramel,,,two,champions,,1,1,1
1087,pruners,,,two,study,,1,0,1
1088,constabulary,,,two,champions,,1,0,1
1089,piety,,,two,champions,,1,0,1
1090,reminiscent,,,two,champions,,1,1,1
1091,scrambling,,,two,study,,1,0,1
1092,kleptocrat,,,two,champions,,1,1,1
1093,metatarsal,,,two,champions,,1,1,1
1094,occultation,,,two,champions,,1,0,1
1095,scrooge,,,two,champions,,1,0,1
1096,kurta,,,two,study,,1,0,1
1097,Holocaust,,,two,champions,,1,0,1
1098,gullibility,,,two,champions,,1,0,1
1099,logarithmic,,,two,champions,,1,0,1
1100,nymphal,,,two,champions,,1,0,1
1101,summary,,,two,champions,,1,0,1
1102,necessity,,,two,champions,,1,0,1
1103,pantomime,,,two,champions,,1,1,1
1104,obstacles,,,two,study,,1,0,1
1105,obsidian,,,two,champions,,1,0,1
1106,Mandarin,,,two,champions,,1,0,1
1107,amalgam,,,two,champions,,1,0,1
1108,guineas,,,two,champions,,1,0,1
1109,traverse,,,two,champions,,1,0,1
1110,tuition,,,two,champions,,1,0,1
1111,iridescent,,,two,champions,,1,0,1
1112,evaporation,,,two,champions,,1,0,1
1113,symmetrical,,,two,champions,,1,1,1
1114,insulin,,,two,champions,,1,0,1
1115,diadem,,,two,champions,,1,0,1
1116,exhibits,,,two,study,,1,0,1
1117,peripheral,,,two,champions,,1,0,1
1118,sacrament,,,two,champions,,1,0,1
1119,dumbwaiter,,,two,champions,,1,0,1
1120,steroid,,,two,champions,,1,0,1
1121,palladium,,,two,study,,1,0,1
1122,differed,,,two,study,,1,0,1
1123,preferential,,,two,champions,,1,0,1
1124,marionette,,,two,champions,,1,0,1
1125,contrite,,,two,champions,,1,0,1
1126,alloy,,,two,champions,,1,0,1
1127,tragedian,,,two,champions,,1,0,1
1128,enumerated,,,two,champions,,1,2,1
1129,hyacinth,,,two,champions,,1,2,1
1130,panacea,,,two,champions,,1,1,1
1131,matriculation,,,two,champions,,1,1,1
1132,tactics,,,two,study,,1,0,1
1133,crustaceans,,,two,champions,,1,0,1
1134,vinegar,,,two,champions,,1,0,1
1135,Geiger,,,two,study,,1,0,1
1136,ballyhooed,,,two,champions,,1,0,1
1137,chambray,,,two,champions,,1,2,1
1138,minnow,,,two,study,,1,0,1
1139,cerebellum,,,two,champions,,1,2,1
1140,thyme,,,two,champions,,1,0,1
1141,glissando,,,two,champions,,1,1,1
1142,kookaburra,,,two,champions,,1,2,1
1143,injurious,,,two,champions,,1,0,1
1144,speculate,,,two,champions,,1,0,1
1145,calligram,,,two,champions,,1,1,1
1146,promulgate,,,two,champions,,1,2,1
1147,untenable,,,two,champions,,1,1,1
1148,nobiliary,,,two,champions,,1,0,1
1149,licensure,,,two,champions,,1,2,1
1150,gossamer,,,two,champions,,1,0,1
1151,sarcophagus,,,two,champions,,1,0,1
1152,mochi,,,two,champions,,1,0,1
1153,equilibrium,,,two,champions,,1,0,1
1154,berserk,,,two,champions,,1,0,1
1155,comestibles,,,two,champions,,1,1,1
1156,marsupial,,,two,champions,,1,0,1
1157,prorogue,,,two,champions,,1,2,1
1158,placards,,,two,champions,,1,1,1
1159,dishevel,,,two,champions,,1,1,1
1160,asado,,,two,champions,,1,0,1
1161,paramountcy,,,two,champions,,1,0,1
1162,macular,,,two,champions,,1,0,1
1163,untoward,,,two,study,,1,0,1
1164,Holstein,,,two,champions,,1,0,1
1165,dissipate,,,two,champions,,1,0,1
1166,badminton,,,two,study,,1,0,1
1167,tissue,,,two,study,,1,0,1
1168,tartaric,,,two,study,,1,0,1
1169,veracity,,,two,champions,,1,1,1
1170,McCoy,,,two,champions,,1,0,1
1171,woebegone,,,two,champions,,1,0,1
1172,nucleated,,,two,champions,,1,0,1
1173,vermicide,,,two,champions,,1,0,1
1174,assure,,,two,champions,,1,0,1
1175,solemn,,,two,champions,,1,0,1
1176,diurnal,,,two,champions,,1,1,1
1177,swannery,,,two,champions,,1,0,1
1178,classical,,,two,champions,,1,0,1
1179,opponency,,,two,champions,,1,1,1
1180,quadriceps,,,two,champions,,1,0,1
1181,lingua franca,,,two,champions,,1,0,1
1182,parkour,,,two,champions,,1,0,1
1183,déjà vu,,,two,champions,,1,0,1
1184,affront,,,two,champions,,1,0,1
1185,plutonomy,,,two,champions,,1,0,1
1186,legato,,,two,champions,,1,0,1
1187,leisure,,,two,champions,,1,0,1
1188,inquietude,,,two,champions,,1,0,1
1189,veritable,,,two,champions,,1,2,1
1190,brouhaha,,,two,champions,,1,1,1
1191,beaucoup,,,two,champions,,1,0,1
1192,facade,,,two,champions,,1,0,1
1193,thievery,,,two,champions,,1,0,1
1194,abated,,,two,study,,1,0,1
1195,pantheon,,,two,champions,,1,0,1
1196,platinum,,,two,champions,,1,0,1
1197,subsequent,,,two,champions,,1,0,1
1198,obvious,,,two,study,,1,0,1
1199,exoneration,,,two,champions,,1,0,1
1200,sheldrake,,,two,champions,,1,0,1
1201,quagmire,,,two,champions,,1,0,1
1202,trepanation,,,two,champions,,1,1,1
1203,heleoplankton,,,two,champions,,1,1,1
1204,stevia,,,two,champions,,1,1,1
1205,staid,,,two,champions,,1,0,1
1206,annexation,,,two,champions,,1,1,1
1207,nascent,naissant,Alt,two,champions,,1,2,1
1208,rustication,,,two,champions,,1,0,1
1209,collision,,,two,champions,,1,0,1
1210,ethanol,,,two,champions,,1,0,1
1211,sandal,,,two,champions,,1,0,1
1212,shuffle,,,two,study,,1,0,1
1213,apothecary,,,two,champions,,1,0,1
1214,dragoon,,,two,champions,,1,0,1
1215,regalia,,,two,champions,,1,0,1
1216,bravado,,,two,champions,,1,0,1
1217,primitive,,,two,champions,,1,0,1
1218,disproportionate,,,two,champions,,1,0,1
1219,visage,,,two,champions,,1,0,1
1220,discombobulate,,,two,champions,,1,0,1
1221,mitochondria,,,two,champions,,1,0,1
1222,staggered,,,two,study,,1,0,1
1223,vernal,,,two,champions,,1,1,1
1224,lorikeet,,,two,champions,,1,1,1
1225,hallucinate,,,two,champions,,1,0,1
1226,excursion,,,two,champions,,1,0,1
1227,moratorium,,,two,champions,,1,1,1
1228,stellular,,,two,champions,,1,0,1
1229,pashmina,,,two,champions,,1,0,1
1230,oculus,,,two,champions,,1,0,1
1231,Herculean,,,two,champions,,1,0,1
1232,casserole,,,two,champions,,1,0,1
1233,interim,,,two,champions,,1,0,1
1234,bittern,,,two,champions,,1,0,1
1235,spirit,,,two,study,,1,0,1
1236,emerald,,,two,champions,,1,0,1
1237,bursary,,,two,champions,,1,0,1
1238,quotient,,,two,champions,,1,0,1
1239,hieroglyphics,,,two,champions,,1,0,1
1240,brusque,brusk,Alt,two,champions,,1,0,1
1241,vicinity,,,two,champions,,1,0,1
1242,hesitate,,,two,study,,1,0,1
1243,epigram,,,two,champions,,1,0,1
1244,calamitous,,,two,study,,1,0,1
1245,concatenate,,,two,champions,,1,2,1
1246,strengthen,,,two,champions,,1,0,1
1247,parachuted,,,two,study,,1,0,1
1248,freesia,,,two,champions,,1,0,1
1249,atrium,,,two,champions,,1,0,1
1250,lavender,,,two,champions,,1,0,1
1251,vanquish,,,two,champions,,1,0,1
1252,irascible,,,two,champions,,1,2,1
1253,hunky-dory,,,two,study,,1,0,1
1254,decennial,,,two,champions,,1,2,1
1255,augment,,,two,champions,,1,0,1
1256,pagoda,,,two,champions,,1,0,1
1257,argyria,,,two,study,,1,0,1
1258,nephrolith,,,two,champions,,1,1,1
1259,accumulate,,,two,champions,,1,0,1
1260,carriage,,,two,champions,,1,0,1
1261,tributary,,,two,champions,,1,0,1
1262,ornithology,,,two,champions,,1,0,1
1263,optimum,,,two,champions,,1,0,1
1264,museum,,,two,study,,1,0,1
1265,ramparts,,,two,study,,1,0,1
1266,chronometer,,,two,champions,,1,1,1
1267,inquisitor,,,two,champions,,1,0,1
1268,lanai,,,two,champions,,1,0,1
1269,bastion,,,two,champions,,1,1,1
1270,behemoth,,,two,champions,,1,0,1
1271,barograph,,,two,study,,1,0,1
1272,deters,,,two,study,,1,0,1
1273,entrée,,,two,champions,,1,0,1
1274,diaphanous,,,two,champions,,1,2,1
1275,endorphin,,,two,champions,,1,0,1
1276,osmosis,,,two,champions,,1,0,1
1277,infarction,,,two,champions,,1,0,1
1278,zirconium,,,two,champions,,1,0,1
1279,syringe,,,two,champions,,1,0,1
1280,melismatic,,,two,champions,,1,1,1
1281,portentous,,,two,champions,,1,2,1
1282,malfeasance,,,two,champions,,1,2,1
1283,futility,,,two,champions,,1,0,1
1284,zoolatry,,,two,champions,,1,0,1
1285,scarlatina,,,two,champions,,1,1,1
1286,chancellor,,,two,champions,,1,0,1
1287,parcel,,,two,study,,1,0,1
1288,impeachable,,,two,champions,,1,0,1
1289,remonstrance,,,two,champions,,1,0,1
1290,thoroughbred,,,two,champions,,1,1,1
1291,racial,,,two,champions,,1,0,1
1292,irrevocable,,,two,champions,,1,0,1
1293,liquefaction,,,two,champions,,1,0,1
1294,calabash,,,two,champions,,1,2,1
1295,ineptitude,,,two,champions,,1,0,1
1296,oblique,,,two,champions,,1,0,1
1297,diligence,,,two,champions,,1,0,1
1298,malevolent,,,two,champions,,1,1,1
1299,bossa,,,two,champions,,1,1,1
1300,tephra,,,two,champions,,1,0,1
1301,onerous,,,two,champions,,1,0,1
1302,onomatopoeia,,,two,champions,,1,2,1
1303,terra-cotta,,,two,champions,,1,1,1
1304,hyrax,,,two,champions,,1,0,1
1305,myoglobin,,,two,champions,,1,0,1
1306,commerce,,,two,champions,,1,0,1
1307,implacable,,,two,champions,,1,0,1
1308,cinnamon,,,two,champions,,1,0,1
1309,overweening,,,two,champions,,1,2,1
1310,armistice,,,two,champions,,1,0,1
1311,valedictorian,,,two,champions,,1,0,1
1312,preliminary,,,two,champions,,1,0,1
1313,maize,,,two,champions,,1,0,1
1314,hypotenuse,,,two,champions,,1,0,1
1315,designer,,,two,champions,,1,0,1
1316,remarkable,,,two,study,,1,0,1
1317,spoonerism,,,two,champions,,1,0,1
1318,hexagonal,,,two,champions,,1,0,1
1319,fleetness,,,two,champions,,1,0,1
1320,mosaic,,,two,champions,,1,0,1
1321,planetarium,,,two,champions,,1,0,1
1322,echinoderm,,,two,champions,,1,0,1
1323,vinyl,,,two,study,,1,0,1
1324,carbohydrates,,,two,champions,,1,0,1
1325,mutate,,,two,study,,1,0,1
1326,affable,,,two,champions,,1,0,1
1327,phlegmatic,,,two,champions,,1,1,1
1328,artifice,,,two,champions,,1,0,1
1329,bonsai,,,two,champions,,1,0,1
1330,flabbergast,,,two,champions,,1,0,1
1331,perfume,,,two,study,,1,0,1
1332,conch,,,two,champions,,1,0,1
1333,molecule,,,two,champions,,1,0,1
1334,caffeine,,,two,champions,,1,0,1
1335,reprieve,,,two,champions,,1,1,1
1336,corduroy,,,two,champions,,1,1,1
1337,bulwark,,,two,champions,,1,1,1
1338,gnaw,,,two,study,,1,0,1
1339,cayenne,,,two,champions,,1,0,1
1340,septennial,,,two,champions,,1,0,1
1341,ceramics,,,two,champions,,1,0,1
1342,denouncement,,,two,study,,1,0,1
1343,theorem,,,two,champions,,1,0,1
1344,blustery,,,two,study,,1,0,1
1345,clowder,,,two,champions,,1,0,1
1346,bassoon,,,two,champions,,1,0,1
1347,briny,,,two,study,,1,1,1
1348,salutary,,,two,champions,,1,0,1
1349,petrifying,,,two,champions,,1,0,1
1350,bonobo,,,two,champions,,1,1,1
1351,panary,,,two,champions,,1,1,1
1352,duodenum,,,two,champions,,1,0,1
1353,bindi,,,two,study,,1,0,1
1354,dovecote,,,two,champions,,1,1,1
1355,multiplication,,,two,study,,1,0,1
1356,temerity,,,two,champions,,1,0,1
1357,nonnegotiable,,,two,champions,,1,0,1
1358,blatant,,,two,champions,,1,0,1
1359,Brandywine,,,two,champions,,1,0,1
1360,epoch,,,two,champions,,1,1,1
1361,somatotype,,,two,champions,,1,1,1
1362,larceny,,,two,champions,,1,0,1
